"","Model","Threshold","Population_below_threshold","Sensitivity.Sensitivity","Specificity.Specificity","PPV.Pos.Pred.Value","NPV.Neg.Pred.Value","Accuracy.Accuracy"
"207","rf",0.85,2.22222222222222,NA,NA,NA,NA,NA
"208","rf",0.9,2.96296296296296,NA,NA,NA,NA,NA
"209","rf",0.95,3.20987654320988,NA,NA,NA,NA,NA
"210","rf",0.05,0,NA,NA,NA,NA,NA
"211","rf",0.1,0,NA,NA,NA,NA,NA
"212","rf",0.15,0,NA,NA,NA,NA,NA
"213","rf",0.2,0,NA,NA,NA,NA,NA
"214","rf",0.25,0,NA,NA,NA,NA,NA
"215","rf",0.3,0,NA,NA,NA,NA,NA
"216","rf",0.35,0,NA,NA,NA,NA,NA
"217","rf",0.4,0,NA,NA,NA,NA,NA
"218","rf",0.45,0,NA,NA,NA,NA,NA
"219","rf",0.5,0,NA,NA,NA,NA,NA
"220","rf",0.55,0,NA,NA,NA,NA,NA
"221","rf",0.6,0,NA,NA,NA,NA,NA
"222","rf",0.65,0.493827160493827,NA,NA,NA,NA,NA
"223","rf",0.7,0.493827160493827,NA,NA,NA,NA,NA
"224","rf",0.75,0.740740740740741,NA,NA,NA,NA,NA
"225","rf",0.8,1.48148148148148,NA,NA,NA,NA,NA
"226","rf",0.85,1.72839506172839,NA,NA,NA,NA,NA
"227","rf",0.9,1.72839506172839,NA,NA,NA,NA,NA
"228","rf",0.95,2.71604938271605,NA,NA,NA,NA,NA
"229","rf",0.05,0,NA,NA,NA,NA,NA
"230","rf",0.1,0,NA,NA,NA,NA,NA
"231","rf",0.15,0,NA,NA,NA,NA,NA
"232","rf",0.2,0,NA,NA,NA,NA,NA
"233","rf",0.25,0,NA,NA,NA,NA,NA
"234","rf",0.3,0.492610837438424,NA,NA,NA,NA,NA
"235","rf",0.35,0.738916256157635,NA,NA,NA,NA,NA
"236","rf",0.4,0.985221674876847,NA,NA,NA,NA,NA
"237","rf",0.45,0.985221674876847,NA,NA,NA,NA,NA
"238","rf",0.5,0.985221674876847,NA,NA,NA,NA,NA
"239","rf",0.55,1.47783251231527,NA,NA,NA,NA,NA
"240","rf",0.6,1.72413793103448,NA,NA,NA,NA,NA
"241","rf",0.65,1.72413793103448,NA,NA,NA,NA,NA
"242","rf",0.7,2.70935960591133,NA,NA,NA,NA,NA
"243","rf",0.75,2.95566502463054,NA,NA,NA,NA,NA
"244","rf",0.8,3.44827586206897,NA,NA,NA,NA,NA
"245","rf",0.85,3.94088669950739,NA,NA,NA,NA,NA
"246","rf",0.9,4.67980295566502,NA,NA,NA,NA,NA
"247","rf",0.95,4.92610837438424,NA,NA,NA,NA,NA
"248","rf",0.05,0,NA,NA,NA,NA,NA
"249","rf",0.1,0,NA,NA,NA,NA,NA
"250","rf",0.15,0,NA,NA,NA,NA,NA
"251","rf",0.2,0,NA,NA,NA,NA,NA
"252","rf",0.25,0,NA,NA,NA,NA,NA
"253","rf",0.3,0,NA,NA,NA,NA,NA
"254","rf",0.35,0,NA,NA,NA,NA,NA
"255","rf",0.4,0,NA,NA,NA,NA,NA
"256","rf",0.45,0,NA,NA,NA,NA,NA
"257","rf",0.5,0,NA,NA,NA,NA,NA
"258","rf",0.55,0,NA,NA,NA,NA,NA
"259","rf",0.6,0,NA,NA,NA,NA,NA
"260","rf",0.65,0.245700245700246,NA,NA,NA,NA,NA
"261","rf",0.7,0.491400491400491,NA,NA,NA,NA,NA
"262","rf",0.75,1.22850122850123,NA,NA,NA,NA,NA
"263","rf",0.8,1.71990171990172,NA,NA,NA,NA,NA
"264","rf",0.85,2.21130221130221,NA,NA,NA,NA,NA
"265","rf",0.9,3.19410319410319,NA,NA,NA,NA,NA
"266","rf",0.95,4.17690417690418,NA,NA,NA,NA,NA
"267","rf",0.05,0,NA,NA,NA,NA,NA
"268","rf",0.1,0,NA,NA,NA,NA,NA
"269","rf",0.15,0,NA,NA,NA,NA,NA
"270","rf",0.2,0,NA,NA,NA,NA,NA
"271","rf",0.25,0,NA,NA,NA,NA,NA
"272","rf",0.3,0,NA,NA,NA,NA,NA
"273","rf",0.35,0,NA,NA,NA,NA,NA
"274","rf",0.4,0,NA,NA,NA,NA,NA
"275","rf",0.45,0,NA,NA,NA,NA,NA
"276","rf",0.5,0.247524752475248,NA,NA,NA,NA,NA
"277","rf",0.55,0.247524752475248,NA,NA,NA,NA,NA
"278","rf",0.6,0.495049504950495,NA,NA,NA,NA,NA
"279","rf",0.65,0.99009900990099,NA,NA,NA,NA,NA
"280","rf",0.7,1.98019801980198,NA,NA,NA,NA,NA
"281","rf",0.75,1.98019801980198,NA,NA,NA,NA,NA
"282","rf",0.8,3.71287128712871,NA,NA,NA,NA,NA
"283","rf",0.85,4.20792079207921,NA,NA,NA,NA,NA
"284","rf",0.9,4.45544554455445,NA,NA,NA,NA,NA
"285","rf",0.95,4.45544554455445,NA,NA,NA,NA,NA
"286","rf",0.05,0,NA,NA,NA,NA,NA
"287","rf",0.1,0,NA,NA,NA,NA,NA
"288","rf",0.15,0,NA,NA,NA,NA,NA
"289","rf",0.2,0,NA,NA,NA,NA,NA
"290","rf",0.25,0,NA,NA,NA,NA,NA
"291","rf",0.3,0,NA,NA,NA,NA,NA
"292","rf",0.35,0,NA,NA,NA,NA,NA
"293","rf",0.4,0,NA,NA,NA,NA,NA
"294","rf",0.45,0,NA,NA,NA,NA,NA
"295","rf",0.5,0,NA,NA,NA,NA,NA
"296","rf",0.55,0.246913580246914,NA,NA,NA,NA,NA
"297","rf",0.6,0.246913580246914,NA,NA,NA,NA,NA
"298","rf",0.65,0.246913580246914,NA,NA,NA,NA,NA
"299","rf",0.7,0.493827160493827,NA,NA,NA,NA,NA
"300","rf",0.75,0.987654320987654,NA,NA,NA,NA,NA
"301","rf",0.8,1.48148148148148,NA,NA,NA,NA,NA
"302","rf",0.85,1.72839506172839,NA,NA,NA,NA,NA
"303","rf",0.9,2.46913580246914,NA,NA,NA,NA,NA
"304","rf",0.95,3.95061728395062,NA,NA,NA,NA,NA
"305","rf",0.05,0,NA,NA,NA,NA,NA
"306","rf",0.1,0,NA,NA,NA,NA,NA
"307","rf",0.15,0,NA,NA,NA,NA,NA
"308","rf",0.2,0,NA,NA,NA,NA,NA
"309","rf",0.25,0,NA,NA,NA,NA,NA
"310","rf",0.3,0,NA,NA,NA,NA,NA
"311","rf",0.35,0,NA,NA,NA,NA,NA
"312","rf",0.4,0,NA,NA,NA,NA,NA
"313","rf",0.45,0,NA,NA,NA,NA,NA
"314","rf",0.5,0,NA,NA,NA,NA,NA
"315","rf",0.55,0.490196078431373,NA,NA,NA,NA,NA
"316","rf",0.6,0.490196078431373,NA,NA,NA,NA,NA
"317","rf",0.65,0.735294117647059,NA,NA,NA,NA,NA
"318","rf",0.7,0.980392156862745,NA,NA,NA,NA,NA
"319","rf",0.75,1.22549019607843,NA,NA,NA,NA,NA
"320","rf",0.8,1.7156862745098,NA,NA,NA,NA,NA
"321","rf",0.85,1.96078431372549,NA,NA,NA,NA,NA
"322","rf",0.9,2.94117647058824,NA,NA,NA,NA,NA
"323","rf",0.95,3.43137254901961,NA,NA,NA,NA,NA
"324","rf",0.05,0,NA,NA,NA,NA,NA
"325","rf",0.1,0,NA,NA,NA,NA,NA
"326","rf",0.15,0,NA,NA,NA,NA,NA
"327","rf",0.2,0,NA,NA,NA,NA,NA
"328","rf",0.25,0,NA,NA,NA,NA,NA
"329","rf",0.3,0,NA,NA,NA,NA,NA
"330","rf",0.35,0,NA,NA,NA,NA,NA
"331","rf",0.4,0,NA,NA,NA,NA,NA
"332","rf",0.45,0,NA,NA,NA,NA,NA
"333","rf",0.5,0,NA,NA,NA,NA,NA
"334","rf",0.55,0,NA,NA,NA,NA,NA
"335","rf",0.6,0.247524752475248,NA,NA,NA,NA,NA
"336","rf",0.65,0.742574257425743,NA,NA,NA,NA,NA
"337","rf",0.7,0.99009900990099,NA,NA,NA,NA,NA
"338","rf",0.75,0.99009900990099,NA,NA,NA,NA,NA
"339","rf",0.8,1.23762376237624,NA,NA,NA,NA,NA
"340","rf",0.85,1.73267326732673,NA,NA,NA,NA,NA
"341","rf",0.9,2.47524752475248,NA,NA,NA,NA,NA
"342","rf",0.95,2.97029702970297,NA,NA,NA,NA,NA
"343","rf",0.05,0,NA,NA,NA,NA,NA
"344","rf",0.1,0,NA,NA,NA,NA,NA
"345","rf",0.15,0,NA,NA,NA,NA,NA
"346","rf",0.2,0,NA,NA,NA,NA,NA
"347","rf",0.25,0,NA,NA,NA,NA,NA
"348","rf",0.3,0,NA,NA,NA,NA,NA
"349","rf",0.35,0,NA,NA,NA,NA,NA
"350","rf",0.4,0,NA,NA,NA,NA,NA
"351","rf",0.45,0.245700245700246,NA,NA,NA,NA,NA
"352","rf",0.5,0.245700245700246,NA,NA,NA,NA,NA
"353","rf",0.55,0.245700245700246,NA,NA,NA,NA,NA
"354","rf",0.6,0.245700245700246,NA,NA,NA,NA,NA
"355","rf",0.65,0.491400491400491,NA,NA,NA,NA,NA
"356","rf",0.7,0.982800982800983,NA,NA,NA,NA,NA
"357","rf",0.75,1.22850122850123,NA,NA,NA,NA,NA
"358","rf",0.8,1.47420147420147,NA,NA,NA,NA,NA
"359","rf",0.85,1.71990171990172,NA,NA,NA,NA,NA
"360","rf",0.9,1.96560196560197,NA,NA,NA,NA,NA
"361","rf",0.95,2.21130221130221,NA,NA,NA,NA,NA
"362","rf",0.05,0,NA,NA,NA,NA,NA
"363","rf",0.1,0,NA,NA,NA,NA,NA
"364","rf",0.15,0,NA,NA,NA,NA,NA
"365","rf",0.2,0,NA,NA,NA,NA,NA
"366","rf",0.25,0,NA,NA,NA,NA,NA
"367","rf",0.3,0,NA,NA,NA,NA,NA
"368","rf",0.35,0,NA,NA,NA,NA,NA
"369","rf",0.4,0,NA,NA,NA,NA,NA
"370","rf",0.45,0,NA,NA,NA,NA,NA
"371","rf",0.5,0,NA,NA,NA,NA,NA
"372","rf",0.55,0.492610837438424,NA,NA,NA,NA,NA
"373","rf",0.6,0.985221674876847,NA,NA,NA,NA,NA
"374","rf",0.65,1.23152709359606,NA,NA,NA,NA,NA
"375","rf",0.7,2.21674876847291,NA,NA,NA,NA,NA
"376","rf",0.75,2.46305418719212,NA,NA,NA,NA,NA
"377","rf",0.8,2.46305418719212,NA,NA,NA,NA,NA
"378","rf",0.85,3.44827586206897,NA,NA,NA,NA,NA
"379","rf",0.9,3.44827586206897,NA,NA,NA,NA,NA
"380","rf",0.95,3.94088669950739,NA,NA,NA,NA,NA
"381","glm",0.05,0,NA,NA,NA,NA,NA
"382","glm",0.1,0,NA,NA,NA,NA,NA
